2025-11-03 05:35:05 | Temp: 41°F | Battery: ok | WiFi: 3/5 | Image: garage-door_20251103_053538.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-03 05:40:06 | Temp: 41°F | Battery: ok | WiFi: 3/5 | Image: garage-door_20251103_054037.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-03 05:45:06 | Temp: 41°F | Battery: ok | WiFi: 3/5 | Image: garage-door_20251103_054540.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-03 05:50:05 | Temp: 41°F | Battery: ok | WiFi: 3/5 | Image: garage-door_20251103_055045.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-03 05:55:11 | Temp: 41°F | Battery: ok | WiFi: 3/5 | Image: garage-door_20251103_055540.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-03 06:00:06 | Temp: 41°F | Battery: ok | WiFi: 3/5 | Image: garage-door_20251103_060036.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-03 06:05:05 | Temp: 41°F | Battery: ok | WiFi: 3/5 | Image: garage-door_20251103_060536.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-03 06:10:10 | Temp: 41°F | Battery: ok | WiFi: 3/5 | Image: garage-door_20251103_061043.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-03 06:15:05 | Temp: 41°F | Battery: ok | WiFi: 3/5 | Image: garage-door_20251103_061535.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-03 06:20:05 | Temp: 41°F | Battery: ok | WiFi: 3/5 | Image: garage-door_20251103_062037.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-03 06:25:05 | Temp: 42°F | Battery: ok | WiFi: 3/5 | Image: garage-door_20251103_062536.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-03 06:30:04 | Temp: 42°F | Battery: ok | WiFi: 3/5 | Image: garage-door_20251103_063033.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
