2025-11-03 03:30:06 | Temp: 46°F | Battery: ok | WiFi: 5/5 | Image: back-door_20251103_033032.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-03 03:35:06 | Temp: 46°F | Battery: ok | WiFi: 5/5 | Image: back-door_20251103_033531.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-03 03:40:05 | Temp: 46°F | Battery: ok | WiFi: 5/5 | Image: back-door_20251103_034034.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-03 03:45:06 | Temp: 46°F | Battery: ok | WiFi: 5/5 | Image: back-door_20251103_034534.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-03 03:50:05 | Temp: 46°F | Battery: ok | WiFi: 5/5 | Image: back-door_20251103_035029.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-03 03:55:05 | Temp: 46°F | Battery: ok | WiFi: 5/5 | Image: back-door_20251103_035528.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-03 04:00:05 | Temp: 47°F | Battery: ok | WiFi: 5/5 | Image: back-door_20251103_040031.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-03 04:05:06 | Temp: 46°F | Battery: ok | WiFi: 5/5 | Image: back-door_20251103_040533.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-03 04:10:05 | Temp: 46°F | Battery: ok | WiFi: 5/5 | Image: back-door_20251103_041025.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-03 04:15:06 | Temp: 46°F | Battery: ok | WiFi: 5/5 | Image: back-door_20251103_041531.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-03 04:20:05 | Temp: 46°F | Battery: ok | WiFi: 5/5 | Image: back-door_20251103_042031.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-03 04:25:06 | Temp: 46°F | Battery: ok | WiFi: 5/5 | Image: back-door_20251103_042531.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-03 04:30:05 | Temp: 46°F | Battery: ok | WiFi: 5/5 | Image: back-door_20251103_043028.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-03 04:35:06 | Temp: 44°F | Battery: ok | WiFi: 5/5 | Image: back-door_20251103_043535.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-03 04:40:05 | Temp: 44°F | Battery: ok | WiFi: 5/5 | Image: back-door_20251103_044030.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-03 04:45:05 | Temp: 44°F | Battery: ok | WiFi: 5/5 | Image: back-door_20251103_044531.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-03 04:50:06 | Temp: 44°F | Battery: ok | WiFi: 5/5 | Image: back-door_20251103_045032.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-03 04:55:05 | Temp: 44°F | Battery: ok | WiFi: 5/5 | Image: back-door_20251103_045525.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
