2025-11-03 05:15:06 | Temp: 42°F | Battery: ok | WiFi: 3/5 | Image: front-door_20251103_051518.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-03 05:20:05 | Temp: 42°F | Battery: ok | WiFi: 3/5 | Image: front-door_20251103_052017.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-03 05:25:06 | Temp: 42°F | Battery: ok | WiFi: 3/5 | Image: front-door_20251103_052517.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-03 05:30:06 | Temp: 42°F | Battery: ok | WiFi: 3/5 | Image: front-door_20251103_053020.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-03 05:35:05 | Temp: 42°F | Battery: ok | WiFi: 3/5 | Image: front-door_20251103_053515.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-03 05:40:06 | Temp: 42°F | Battery: ok | WiFi: 3/5 | Image: front-door_20251103_054017.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-03 05:45:06 | Temp: 41°F | Battery: ok | WiFi: 3/5 | Image: front-door_20251103_054515.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-03 05:50:05 | Temp: 41°F | Battery: ok | WiFi: 3/5 | Image: front-door_20251103_055015.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-03 05:55:11 | Temp: 41°F | Battery: ok | WiFi: 3/5 | Image: front-door_20251103_055521.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-03 06:00:06 | Temp: 41°F | Battery: ok | WiFi: 3/5 | Image: front-door_20251103_060015.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-03 06:05:05 | Temp: 41°F | Battery: ok | WiFi: 3/5 | Image: front-door_20251103_060515.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-03 06:10:10 | Temp: 41°F | Battery: ok | WiFi: 3/5 | Image: front-door_20251103_061020.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-03 06:15:05 | Temp: 42°F | Battery: ok | WiFi: 3/5 | Image: front-door_20251103_061513.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-03 06:20:05 | Temp: 42°F | Battery: ok | WiFi: 3/5 | Image: front-door_20251103_062016.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-03 06:25:05 | Temp: 42°F | Battery: ok | WiFi: 3/5 | Image: front-door_20251103_062515.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-03 06:30:04 | Temp: 42°F | Battery: ok | WiFi: 3/5 | Image: front-door_20251103_063014.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-03 06:35:05 | Temp: 42°F | Battery: ok | WiFi: 3/5 | Image: front-door_20251103_063518.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
2025-11-03 06:40:05 | Temp: 42°F | Battery: ok | WiFi: 3/5 | Image: front-door_20251103_064015.jpg | Source: get_media | Motion Enabled: True | Armed: N/A
